Station_Number,Date,Chla,Temp,Salinity,Latitude,Longitude,mean_conc
01,2025-05-08,5.045,28.96,26.432,28.02,-82.675,3472.58666666667
02,2025-05-08,3.429,28.79,26.581,27.972,-82.673,2229.20666666667
03,2025-05-08,3.557,28.41,27.059,27.98,-82.62,1788.03333333333
04,2025-05-08,1.906,28.61,27.379,27.949,-82.561,1628.28666666667
05,2025-05-08,4.346,28.2,26.894,27.957,-82.622,1572.26666666667
06,2025-05-08,3.523,28,26.238,27.942,-82.675,1846.01333333333
07,2025-05-08,3.402,27.48,27.322,27.9055,-82.6046,1831.95333333333
08,2025-05-08,3.733,28.02,27.782,27.9244,-82.5496,1691.14666666667
09,2025-05-08,2.197,28.13,28.277,27.86111,-82.58911,1394.40666666667
10,2025-05-08,1.854,27.18,29.588,27.7723,-82.5789,1222.22666666667
01,2025-05-23,NA,30.02,26.527,28.02,-82.675,3499.98
02,2025-05-23,NA,30.06,26.955,27.972,-82.673,1783
03,2025-05-23,NA,30.07,27.471,27.98,-82.62,2109.95333333333
04,2025-05-23,NA,29.96,27.739,27.949,-82.561,1092.16
05,2025-05-23,NA,29.86,27.15,27.957,-82.622,1293.98
06,2025-05-23,NA,29.54,26.645,27.942,-82.675,1352.92
07,2025-05-23,NA,28.97,27.25,27.9055,-82.6046,1295.79333333333
08,2025-05-23,NA,29.77,28.079,27.9244,-82.5496,906.96
09,2025-05-23,NA,29.73,28.173,27.86111,-82.58911,1026.05333333333
10,2025-05-23,NA,29.38,29.658,27.7723,-82.5789,493.946666666667
01,2025-06-11,7.078,30.85,25.702,28.02,-82.675,3096.79333333333
02,2025-06-11,2.377,30.57,26.746,27.972,-82.673,2160.6
03,2025-06-11,2.175,30.57,26.746,27.98,-82.62,2048.96
04,2025-06-11,1.306,30.11,28.113,27.949,-82.561,1748.54
05,2025-06-11,1.975,30.94,27.308,27.957,-82.622,1767.42
06,2025-06-11,3.875,29.81,27.009,27.942,-82.675,1846.75333333333
07,2025-06-11,4.028,29.24,27.658,27.9055,-82.6046,1579.92666666667
08,2025-06-11,1.499,30.25,28.364,27.9244,-82.5496,1922.62
09,2025-06-11,1.92,30.35,28.877,27.86111,-82.58911,1946.47333333333
10,2025-06-11,1.776,29.2,29.936,27.7723,-82.5789,1670.06
01,2025-06-19,7.078,30.85,25.702,28.02,-82.675,4849.29333333333
02,2025-06-19,2.377,30.57,26.746,27.972,-82.673,3925.82666666667
03,2025-06-19,2.175,30.71,27.26,27.98,-82.62,3357.68
04,2025-06-19,1.306,30.11,28.113,27.949,-82.561,2750.52666666667
05,2025-06-19,1.975,30.94,27.308,27.957,-82.622,2729.58
06,2025-06-19,3.875,29.81,27.009,27.942,-82.675,3189.63333333333
07,2025-06-19,4.028,29.24,27.658,27.9055,-82.6046,2601.38
08,2025-06-19,1.499,30.25,28.364,27.9244,-82.5496,2068.55333333333
09,2025-06-19,1.92,30.35,28.877,27.86111,-82.58911,2124.16
10,2025-06-19,1.776,29.2,29.936,27.7723,-82.5789,2375.24
01,2025-07-01,6.942,29.85,23.703,28.02,-82.675,4880.08666666667
02,2025-07-01,3.616,29.26,25.219,27.972,-82.673,4704.84666666667
03,2025-07-01,3.248,30.01,26.38,27.98,-82.62,4120.03333333333
04,2025-07-01,2.184,29.42,26.723,27.949,-82.561,3554.91333333333
05,2025-07-01,3.373,29.39,26.147,27.957,-82.622,4287.20666666667
06,2025-07-01,5.448,29.29,25.684,27.942,-82.675,4949.25333333333
07,2025-07-01,4.814,28.88,27.11,27.9055,-82.6046,2839.74
08,2025-07-01,2.2,29.48,27.399,27.9244,-82.5496,2864.42666666667
09,2025-07-01,0.646,29.42,27.946,27.86111,-82.58911,2773.58
10,2025-07-01,1.977,29.17,28.72,27.7723,-82.5789,1846.74666666667
01,2025-07-18,3.197,31.53,21.539,28.02,-82.675,6555.22666666667
02,2025-07-18,2.278,30.6,23.872,27.972,-82.673,4227.98666666667
03,2025-07-18,2.388,30.88,25.324,27.98,-82.62,3663.72
04,2025-07-18,1.883,30.67,26.15,27.949,-82.561,3141.11333333333
05,2025-07-18,3.127,30.63,25.16,27.957,-82.622,3123.65333333333
06,2025-07-18,1.397,30.3,24.769,27.942,-82.675,3513.96666666667
07,2025-07-18,3.023,30.5,26.457,27.9055,-82.6046,3302.82666666667
08,2025-07-18,1.625,30.54,26.759,27.9244,-82.5496,2113.26666666667
09,2025-07-18,2.978,30.56,27.217,27.86111,-82.58911,2821.24
10,2025-07-18,2.43,30.2,28.5,27.7723,-82.5789,2314.64
01,2025-07-31,2.738,33.08,22.273,28.02,-82.675,5277.31333333333
02,2025-07-31,3.231,32.73,23.92,27.972,-82.673,5634.38666666667
03,2025-07-31,2.924,32.59,24.17,27.98,-82.62,5277.50666666667
04,2025-07-31,2.057,32.46,25.404,27.949,-82.561,4405.56666666667
05,2025-07-31,3.048,32.52,24.708,27.957,-82.622,4327.58
06,2025-07-31,4.021,32.36,24.038,27.942,-82.675,5630.76666666667
07,2025-07-31,2.403,32.31,25.25,27.9055,-82.6046,4733.56666666667
08,2025-07-31,1.608,32.39,26.352,27.9244,-82.5496,3150.98666666667
09,2025-07-31,3.351,32.47,26.89,27.86111,-82.58911,3535.24
10,2025-07-31,2.315,31.91,26.064,27.7723,-82.5789,2117.76666666667
01,2025-08-13,NA,31.05,18.143,28.02,-82.675,4796.80666666667
02,2025-08-13,3.382,30.92,22.242,27.972,-82.673,4837.37333333333
03,2025-08-13,3.193,30.72,24.49,27.98,-82.62,3966.20666666667
04,2025-08-13,2.723,30.84,25.234,27.949,-82.561,4526.00666666667
05,2025-08-13,4.955,30.69,24.281,27.957,-82.622,4372.14666666667
06,2025-08-13,6.398,30.38,24.466,27.942,-82.675,6100.1
07,2025-08-13,2.406,30.5,25.538,27.9055,-82.6046,3168.60666666667
08,2025-08-13,2.082,30.72,25.693,27.9244,-82.5496,3778.83333333333
09,2025-08-13,3.102,31.02,26.517,27.86111,-82.58911,3428.16
10,2025-08-13,2.586,30.43,27.66,27.7723,-82.5789,2340.32666666667
