Station_Number,Date,Chla,Temperature,Salinity,Latitude,Longitude,Bacteria
11,5/8/25,0.49,25,18,29,-83,490
11,5/23/25,0.49,25,18,29,-83,490
11,6/11/25,0.49,25,18,29,-83,490
11,6/19/25,0.49,25,18,29,-83,490
11,7/1/25,0.49,25,18,29,-83,490
11,7/18/25,0.49,25,18,29,-83,490
11,7/31/25,0.49,25,18,29,-83,490
11,8/13/25,0.49,25,18,29,-83,490
11,8/29/25,0.49,25,18,29,-83,490
11,9/11/25,0.49,25,18,29,-83,490
11,9/25/25,0.49,25,18,29,-83,490
11,10/14/25,0.49,25,18,29,-83,490
12,5/8/25,12,33.1,30,29.1,-83.1,8050
12,5/23/25,12,33.1,30,29.1,-83.1,8050
12,6/11/25,12,33.1,30,29.1,-83.1,8050
12,6/19/25,12,33.1,30,29.1,-83.1,8050
12,7/1/25,12,33.1,30,29.1,-83.1,8050
12,7/18/25,12,33.1,30,29.1,-83.1,8050
12,7/31/25,12,33.1,30,29.1,-83.1,8050
12,8/13/25,12,33.1,30,29.1,-83.1,8050
12,8/29/25,12,33.1,30,29.1,-83.1,8050
12,9/11/25,12,33.1,30,29.1,-83.1,8050
12,9/25/25,12,33.1,30,29.1,-83.1,8050
12,10/14/25,12,33.1,30,29.1,-83.1,8050
