Station_Number,Date,Salinity,Chla,mean_conc,Temp,order
01,2025-08-29,20.325,11.68,5503.96666666667,30.65,1
02,2025-08-29,21.259,1.854,2615.69333333333,29.94,2
01,2025-09-25,21.282,1.179,3531.78,30.87,3
06,2025-09-25,21.462,4.559,8046.16,29.62,4
02,2025-09-25,21.88,4.334,6157.18,30.11,5
03,2025-08-29,22.172,1.957,2851.52666666667,30.53,6
01,2025-07-31,22.273,2.738,5277.31333333333,33.08,7
05,2025-08-29,22.324,1.113,2337.79333333333,29.98,8
06,2025-08-29,22.48,3.75,3150.58666666667,30.06,9
06,2025-10-14,22.916,3.647,5637.10666666667,25.36,10
05,2025-09-25,22.955,3.72,3987.28666666667,29.88,11
03,2025-09-25,22.987,3.283,4515.19333333333,30.34,12
02,2025-10-14,23.192,2.434,4769.08,26.28,13
07,2025-08-29,23.28,3.375,2184.92666666667,29.81,14
01,2025-10-14,23.293,1.834,3973.50666666667,26.08,15
07,2025-09-25,23.309,4.025,6141.14666666667,29.46,16
04,2025-08-29,23.431,1.118,912.886666666667,29.93,17
01,2025-07-01,23.703,6.942,4880.08666666667,29.85,18
04,2025-09-25,23.876,1.839,2132.92666666667,29.45,19
02,2025-07-31,23.92,3.231,5634.38666666667,32.73,20
05,2025-10-14,23.931,2.944,1962.75333333333,25.46,21
03,2025-10-14,24.014,2.467,2253.13333333333,25.42,22
06,2025-07-31,24.038,4.021,5630.76666666667,32.36,23
03,2025-07-31,24.17,2.924,5277.50666666667,32.59,24
07,2025-10-14,24.233,2.519,3241.34,25.25,25
08,2025-09-25,24.37,NA,2410.18666666667,29.81,26
08,2025-08-29,24.669,2.649,3000.71333333333,29.89,27
05,2025-07-31,24.708,3.048,4327.58,32.52,28
09,2025-09-25,24.77,1.808,2658.48,29.68,29
04,2025-10-14,24.945,2.264,1956.1,25.59,30
09,2025-08-29,25.174,6.129,2292,29.99,31
02,2025-07-01,25.219,3.616,4704.84666666667,29.26,32
07,2025-07-31,25.25,2.403,4733.56666666667,32.31,33
04,2025-07-31,25.404,2.057,4405.56666666667,32.46,34
08,2025-10-14,25.456,1.801,1791.42,25.36,35
06,2025-07-01,25.684,5.448,4949.25333333333,29.29,36
01,2025-06-19,25.702,7.078,4849.29333333333,30.85,37
10,2025-07-31,26.064,2.315,2117.76666666667,31.91,38
09,2025-10-14,26.143,2.523,2282.48,25.04,39
05,2025-07-01,26.147,3.373,4287.20666666667,29.39,40
06,2025-05-08,26.238,3.523,1846.01333333333,28,41
10,2025-09-25,26.329,0.49,1388.94,28.92,42
08,2025-07-31,26.352,1.608,3150.98666666667,32.39,43
03,2025-07-01,26.38,3.248,4120.03333333333,30.01,44
01,2025-05-08,26.432,5.045,3472.58666666667,28.96,45
02,2025-05-08,26.581,3.429,2229.20666666667,28.79,46
04,2025-07-01,26.723,2.184,3554.91333333333,29.42,47
02,2025-06-19,26.746,2.377,3925.82666666667,30.57,48
10,2025-08-29,26.854,4.932,2034.42666666667,30.18,49
09,2025-07-31,26.89,3.351,3535.24,32.47,50
05,2025-05-08,26.894,4.346,1572.26666666667,28.2,51
06,2025-06-19,27.009,3.875,3189.63333333333,29.81,52
03,2025-05-08,27.059,3.557,1788.03333333333,28.41,53
07,2025-07-01,27.11,4.814,2839.74,28.88,54
03,2025-06-19,27.26,2.175,3357.68,30.71,55
05,2025-06-19,27.308,1.975,2729.58,30.94,56
07,2025-05-08,27.322,3.402,1831.95333333333,27.48,57
10,2025-10-14,27.34,2.57,2214.18666666667,25.99,58
04,2025-05-08,27.379,1.906,1628.28666666667,28.61,59
08,2025-07-01,27.399,2.2,2864.42666666667,29.48,60
07,2025-06-19,27.658,4.028,2601.38,29.24,61
08,2025-05-08,27.782,3.733,1691.14666666667,28.02,62
09,2025-07-01,27.946,0.646,2773.58,29.42,63
04,2025-06-19,28.113,1.306,2750.52666666667,30.11,64
09,2025-05-08,28.277,2.197,1394.40666666667,28.13,65
08,2025-06-19,28.364,1.499,2068.55333333333,30.25,66
10,2025-07-01,28.72,1.977,1846.74666666667,29.17,67
09,2025-06-19,28.877,1.92,2124.16,30.35,68
10,2025-05-08,29.588,1.854,1222.22666666667,27.18,69
10,2025-06-19,29.936,1.776,2375.24,29.2,70
